Product Name,Product Category,Sell Price (₹),Cost Price (₹),Number of Sales,Stock
Smart Face Wash 100ml Box,Personal Care,3001,2310,272,97
Premium Hair Oil Bundle,Personal Care,2240,1919,93,10
Ultra Notebook Set Pack,Stationery,1165,1053,477,76
Pro Toothpaste Edition,Personal Care,1702,1469,391,24
Red Whole Wheat Flour 5kg Box,Grocery,1234,890,236,20
Max Yoga Mat Pack,Fitness,3170,2362,324,66
Eco Face Wash 100ml Set,Personal Care,1652,824,47,26
Smart Classic Cotton Saree Model,Clothing,1664,1415,393,28
Classic Power Bank 10000mAh Bundle,Electronics,2075,1416,440,18
Smart Women's Handbag Box,Accessories,2528,2433,315,17
Mini Microwave Oven Set,Electronics,3354,2395,392,36
Ultra Notebook Set Pack,Stationery,2457,1509,313,8
Max Baby Diapers - Pack of 20 Set,Baby Care,663,610,313,100
Smart Electric Kettle Set,Home & Kitchen,1749,1289,315,36
Mini Women's Handbag Model,Accessories,1005,128,98,62
Deluxe Floor Cleaner 1L Edition,Home Essentials,2795,2414,410,11
Mini Electric Kettle Edition,Home & Kitchen,2535,2374,288,80
Red Men's Sneakers Bundle,Footwear,1166,741,60,3
Mini Shampoo 650ml Bundle,Personal Care,3161,2476,69,37
Eco Desk Lamp Box,Home & Kitchen,1513,668,229,50
Premium Men's Sneakers Model,Footwear,1944,1680,11,56
Smart Women's Handbag Model,Accessories,2218,2133,430,12
Eco Classic Cotton Saree Model,Clothing,1206,986,21,96
Premium Hair Oil Box,Personal Care,1623,1079,455,18
Pro Toothpaste Edition,Personal Care,1807,1718,213,70
Classic Power Bank 10000mAh Pack,Electronics,2319,1929,454,17
Pro Floor Cleaner 1L Pack,Home Essentials,2560,2247,12,36
Premium Instant Coffee 200g Model,Grocery,2156,1351,34,75
Red Shampoo 650ml Bundle,Personal Care,2092,1749,434,1
Max Baby Diapers - Pack of 20 Set,Baby Care,2353,1971,426,1
Mini Women's Handbag Edition,Accessories,592,223,491,70
Red Whole Wheat Flour 5kg Set,Grocery,2584,2087,268,82
Classic Steel Kettle Model,Home & Kitchen,1741,1413,410,55
Classic Microwave Oven Bundle,Electronics,2198,1499,77,3
Max Cooking Oil 1L Bundle,Grocery,1599,1261,164,90
Classic Steel Kettle Set,Home & Kitchen,2885,2366,219,91
Max Cooking Oil 1L Set,Grocery,1695,1352,465,43
Deluxe Wireless Earbuds Pack,Electronics,2724,2101,141,46
Smart Electric Kettle Set,Home & Kitchen,587,417,149,87
Red Shampoo 650ml Bundle,Personal Care,2624,1856,483,27
Ultra Organic Green Tea Set,Grocery,768,634,265,44
Ultra LED Bulb 12W Set,Electronics,2417,2078,382,65
Classic Power Bank 10000mAh Pack,Electronics,2369,1396,119,56
Mini Hair Oil Model,Personal Care,2877,2368,471,89
Ultra LED Bulb 12W Set,Electronics,2106,1414,446,90
Red Bluetooth Speaker Set,Electronics,1067,516,253,53
Max Wireless Earbuds Bundle,Electronics,923,290,443,72
Smart Steel Kettle Set,Home & Kitchen,3258,2275,89,24
Ultra Notebook Set Box,Stationery,1955,1750,115,37
Red Shampoo 650ml Set,Personal Care,2969,2400,469,8
Classic Microwave Oven Box,Electronics,2166,1317,455,61
Eco Baby Diapers - Pack of 20 Bundle,Baby Care,1372,1183,108,1
Eco Face Wash 100ml Set,Personal Care,1259,637,119,98
Ultra LED Bulb 12W Set,Electronics,1932,1068,198,14
Max Smart Watch Gen 5 Box,Electronics,2302,1771,319,10
Red Bluetooth Speaker Box,Electronics,1130,188,418,63
Red Men's Sneakers Bundle,Footwear,3268,2305,228,52
Premium LED Bulb 12W Bundle,Electronics,2705,1791,423,74
Max Cooking Oil 1L Set,Grocery,2066,1725,252,74
Smart Women's Handbag Model,Accessories,1632,1027,242,4
Mini Shampoo 650ml Bundle,Personal Care,2187,1814,112,60
Classic Microwave Oven Box,Electronics,1101,740,106,87
Max Wireless Earbuds Edition,Electronics,1506,926,209,18
Ultra Men's Formal Shirt Edition,Clothing,3372,2448,286,71
Premium Instant Coffee 200g Box,Grocery,1314,786,128,86
Classic Instant Coffee 200g Model,Grocery,754,229,202,48
Max Cooking Oil 1L Set,Grocery,661,144,287,7
Smart Face Wash 100ml Model,Personal Care,2518,2006,82,92
Classic Power Bank 10000mAh Bundle,Electronics,525,185,142,71
Red Bluetooth Speaker Set,Electronics,2064,1454,153,49
Red Shampoo 650ml Bundle,Personal Care,840,176,84,36
Eco Desk Lamp Box,Home & Kitchen,2747,2058,129,76
Premium Instant Coffee 200g Model,Grocery,2336,1910,54,83
Ultra Smart Watch Gen 5 Edition,Electronics,1403,511,264,12
Smart Electric Kettle Set,Home & Kitchen,853,650,50,67
Red Whole Wheat Flour 5kg Set,Grocery,2766,2307,25,54
Red Bluetooth Speaker Set,Electronics,1287,992,100,80
Eco Water Bottle Box,Home Essentials,1274,789,441,34
Mini Microwave Oven Bundle,Electronics,3019,2196,473,59
Mini Microwave Oven Bundle,Electronics,2112,1927,207,64
Red Shampoo 650ml Bundle,Personal Care,938,474,498,82
Mini Laptop Backpack Box,Accessories,2577,2070,346,98
Smart Toothpaste Pack,Personal Care,1775,876,437,54
Deluxe Desk Lamp Set,Home & Kitchen,1713,1361,264,16
Smart Steel Kettle Box,Home & Kitchen,669,453,446,36
Red Men's Formal Shirt Box,Clothing,2660,1913,245,37
Classic Instant Coffee 200g Pack,Grocery,2085,1449,285,63
Max Organic Green Tea Bundle,Grocery,2599,2127,18,46
Smart Classic Cotton Saree Model,Clothing,1309,722,10,61
Ultra LED Bulb 12W Bundle,Electronics,1036,477,126,84
Mini Laptop Backpack Model,Accessories,903,112,375,24
Smart Steel Kettle Set,Home & Kitchen,551,331,443,97
Classic Power Bank 10000mAh Bundle,Electronics,927,241,202,99
Mini Shampoo 650ml Set,Personal Care,1096,580,69,19
Max Wireless Earbuds Bundle,Electronics,1556,1152,51,18
Ultra Organic Green Tea Pack,Grocery,1512,832,473,34
Eco Classic Cotton Saree Set,Clothing,1062,177,154,18
Ultra LED Bulb 12W Set,Electronics,3083,2280,176,49
Ultra Laptop Backpack Pack,Accessories,2078,1424,432,48
Eco Baby Diapers - Pack of 20 Bundle,Baby Care,1729,733,91,56
Red Bluetooth Speaker Set,Electronics,2627,1932,245,88
Max Smart Watch Gen 5 Edition,Electronics,850,183,22,22
Red Shampoo 650ml Set,Personal Care,2447,1804,113,20
Mini Power Bank 10000mAh Set,Electronics,736,358,72,39
Classic Power Bank 10000mAh Pack,Electronics,2703,2084,359,90
Pro Toothpaste Edition,Personal Care,661,223,326,89
Classic Instant Coffee 200g Pack,Grocery,2653,1757,411,98
Eco Water Bottle Box,Home Essentials,293,152,52,94
Premium Notebook Set Box,Stationery,1495,1258,130,0
Mini Laptop Backpack Model,Accessories,2693,2157,219,24
Mini Laptop Backpack Model,Accessories,1900,945,400,4
Premium Instant Coffee 200g Model,Grocery,1192,455,73,53
Classic Microwave Oven Box,Electronics,1541,701,17,44
Eco Face Wash 100ml Model,Personal Care,1577,987,47,48
Max Wireless Earbuds Bundle,Electronics,1883,1741,202,4
Max Baby Diapers - Pack of 20 Edition,Baby Care,2973,2125,336,67
Red Shampoo 650ml Bundle,Personal Care,3153,2352,101,35
Max Baby Diapers - Pack of 20 Set,Baby Care,2532,1895,206,16
Classic Microwave Oven Box,Electronics,536,293,448,57
Smart Toothpaste Edition,Personal Care,2584,2314,200,18
Deluxe Wireless Earbuds Bundle,Electronics,1384,850,310,74
Max Yoga Mat Set,Fitness,2553,1970,19,59
Smart Face Wash 100ml Model,Personal Care,784,104,96,75
Max Cooking Oil 1L Bundle,Grocery,1730,1400,135,75
Ultra Laptop Backpack Edition,Accessories,724,146,229,41
Premium Instant Coffee 200g Box,Grocery,2740,1829,396,32
